dataset,N,edge_count,true_eta,true_rho,graph_size_bin,parameter,posterior_z
125,113,324,0.3103,0.0421,"(95.75, 155.0]",rho,-0.8937
126,215,629,0.3460,0.7358,"(155.0, 217.5]",rho,0.2542
127,183,534,0.2015,0.7198,"(155.0, 217.5]",rho,0.6099
128,242,708,0.4016,0.4818,"(217.5, 299.0]",rho,0.8751
129,115,331,0.1302,0.3769,"(95.75, 155.0]",rho,0.1291
130,152,440,0.6041,0.3100,"(95.75, 155.0]",rho,-1.9039
131,149,431,0.4284,0.3393,"(95.75, 155.0]",rho,-1.5897
132,178,517,0.1166,0.2312,"(155.0, 217.5]",rho,1.1518
133,173,502,0.5117,0.1302,"(155.0, 217.5]",rho,-0.7695
134,147,424,0.6776,0.2550,"(95.75, 155.0]",rho,0.2278
135,247,725,0.4252,0.8633,"(217.5, 299.0]",rho,1.5550
136,95,271,0.3981,0.7290,"(39.9999, 95.75]",rho,0.3211
137,177,514,0.4172,0.4975,"(155.0, 217.5]",rho,-0.3992
138,76,211,0.2371,0.5072,"(39.9999, 95.75]",rho,-1.8809
139,217,637,0.0318,0.3087,"(155.0, 217.5]",rho,-0.8261
140,216,633,0.0516,0.5422,"(155.0, 217.5]",rho,0.4977
141,116,333,0.3870,0.8938,"(95.75, 155.0]",rho,1.2413
142,177,512,0.2476,0.5433,"(155.0, 217.5]",rho,0.9374
143,148,429,0.3529,0.1681,"(95.75, 155.0]",rho,0.0018
144,248,726,0.3976,0.5305,"(217.5, 299.0]",rho,-0.6871
145,273,800,0.1906,0.1408,"(217.5, 299.0]",rho,-0.9629
146,164,475,0.7065,0.4660,"(155.0, 217.5]",rho,-0.3160
147,258,761,0.0991,0.5657,"(217.5, 299.0]",rho,-0.6258
148,141,409,0.5065,0.3625,"(95.75, 155.0]",rho,-0.0606
149,238,698,0.3369,0.6151,"(217.5, 299.0]",rho,-0.8515
150,166,486,0.3906,0.8482,"(155.0, 217.5]",rho,1.0510
151,230,671,0.0771,0.8282,"(217.5, 299.0]",rho,0.2170
152,286,845,0.4414,0.5275,"(217.5, 299.0]",rho,-1.4845
153,199,580,0.4959,0.1182,"(155.0, 217.5]",rho,0.1922
154,88,251,0.0730,0.0558,"(39.9999, 95.75]",rho,-0.9971
155,198,579,0.4597,0.7857,"(155.0, 217.5]",rho,1.2933
156,281,823,0.0282,0.6897,"(217.5, 299.0]",rho,0.1953
157,226,656,0.2962,0.0410,"(217.5, 299.0]",rho,-0.6271
158,70,197,0.4947,0.1345,"(39.9999, 95.75]",rho,-1.1592
159,189,551,0.1418,0.5837,"(155.0, 217.5]",rho,-0.5459
160,99,284,0.6935,0.9453,"(95.75, 155.0]",rho,0.3143
161,295,866,0.4063,0.4496,"(217.5, 299.0]",rho,-0.3832
162,54,148,0.5747,0.5979,"(39.9999, 95.75]",rho,-0.5047
163,171,497,0.6763,0.2908,"(155.0, 217.5]",rho,-1.2548
164,80,226,0.5650,0.4324,"(39.9999, 95.75]",rho,1.8399
165,192,557,0.3794,0.2550,"(155.0, 217.5]",rho,-0.2451
166,76,216,0.6373,0.4894,"(39.9999, 95.75]",rho,0.3731
167,196,573,0.5679,0.1429,"(155.0, 217.5]",rho,-0.0414
168,73,207,0.5444,0.3626,"(39.9999, 95.75]",rho,-0.8060
169,198,581,0.7080,0.0903,"(155.0, 217.5]",rho,-3.0053
170,47,130,0.4531,0.9032,"(39.9999, 95.75]",rho,1.6819
171,60,166,0.4185,0.9450,"(39.9999, 95.75]",rho,0.6899
172,59,163,0.4665,0.7594,"(39.9999, 95.75]",rho,1.3571
173,288,845,0.4916,0.3495,"(217.5, 299.0]",rho,0.1137
174,219,637,0.1557,0.6055,"(217.5, 299.0]",rho,-1.0910
175,243,712,0.3948,0.3318,"(217.5, 299.0]",rho,2.1361
176,63,176,0.4383,0.2000,"(39.9999, 95.75]",rho,0.4834
177,70,196,0.6616,0.8106,"(39.9999, 95.75]",rho,-0.0182
178,247,723,0.1626,0.3328,"(217.5, 299.0]",rho,-1.3598
179,100,285,0.4905,0.9220,"(95.75, 155.0]",rho,1.1234
180,76,212,0.6903,0.5431,"(39.9999, 95.75]",rho,0.9606
181,160,463,0.2422,0.1366,"(155.0, 217.5]",rho,-1.0891
182,268,788,0.3367,0.1594,"(217.5, 299.0]",rho,0.1304
183,280,825,0.5993,0.9524,"(217.5, 299.0]",rho,1.7433
184,86,240,0.3350,0.9539,"(39.9999, 95.75]",rho,1.6038
185,272,800,0.4556,0.9218,"(217.5, 299.0]",rho,1.0697
186,155,451,0.7090,0.2013,"(95.75, 155.0]",rho,0.3303
187,263,772,0.0049,0.7395,"(217.5, 299.0]",rho,1.8389
188,84,237,0.6821,0.2640,"(39.9999, 95.75]",rho,0.6571
189,93,265,0.6459,0.1154,"(39.9999, 95.75]",rho,-0.3346
190,71,198,0.3634,0.8928,"(39.9999, 95.75]",rho,1.4453
191,60,166,0.3008,0.6317,"(39.9999, 95.75]",rho,0.6503
192,283,836,0.4396,0.3827,"(217.5, 299.0]",rho,2.4032
193,167,482,0.5589,0.9759,"(155.0, 217.5]",rho,0.7469
194,168,486,0.2867,0.5778,"(155.0, 217.5]",rho,0.5127
195,136,389,0.5227,0.8418,"(95.75, 155.0]",rho,0.9966
196,69,192,0.2816,0.6334,"(39.9999, 95.75]",rho,0.1346
197,92,261,0.4922,0.4233,"(39.9999, 95.75]",rho,1.0610
198,64,180,0.2793,0.3268,"(39.9999, 95.75]",rho,3.0909
199,118,338,0.4146,0.1766,"(95.75, 155.0]",rho,-0.8729
